idx,reference,predicted,wer,cer
109,Buna görə rayonu bir neçə hissəyə bölmək məcburi olmuşdu.,Buna görə rayonu bir neçə hiss etmək məcburi olmuşdur.,0.3333333333333333,0.12280701754385964
110,Bu teatrın əsas vəzifəsi fəhlələr və kasıblar arasında bolşevik təbliğatı aparmaq olmuşdur.,Bu teatrın əsas vədifəsiz təhqirlər və kəsiklər arasında bol şey bir təbriqat aparmaq olmuşdur.,0.5833333333333334,0.1978021978021978
111,Təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüşçü tədqiqata başlayır.,Təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyücüsü tədqiqata başlayır.,0.07692307692307693,0.030612244897959183
112,Orta təhsilini Ağdam rayonunda alıb.,Orta təhsilini Ağdam rayonunda alıb.,0.0,0.0
113,Estetik mənada konkret təbiət gözəllikləri ümumən yenə gözəl bir qadınla birlikdə təqdim edilir.,Estetik manada konkret təbiət gözəllikləri ümumiyyən yenə gözəl bir qadınla birlikdə təqdim edilir.,0.15384615384615385,0.041666666666666664
114,Strabon özünün məşhur Tarix əsərində də Abxaziya ərazisi və orada yaşayan xalqlar barədə yazmışdı.,Starbun özünün məşhur tarix əsərində Avqazi ərazisi və orada yaşayan haqqlar barədə yazmışdı.,0.35714285714285715,0.1326530612244898
115,Sovet mədəniyyət və incəsənət nümayəndə heyətinin tərkibində Amerika və Afrika ölkələrində olmuşdur.,Soveti mədəniyyət və indisənət müəyyən dəhəyətinin tərkibində Amerika və Afrika ölkələrində olunmuşdu.,0.4166666666666667,0.12
116,Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi.,Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi.,0.0,0.0
117,Alimin rəhbərliyi ilə onlarla elmlər namizədi hazırlanmışdır.,Ademin rəhbərliyi ilə onlarla filmlər namizədə hazırlanmışdır.,0.42857142857142855,0.08196721311475409
118,Körpünün yerləşdiyi Qarabağ məhəlləsi Zəngəzur mahalından qaçıb bura gələnlərin adı ilə adlanıb.,Köprünün yerləşdiyi qarabağ məhəlləsi Zəncüzül Mahallından qaçıb bura gələnlərin adı ilə adlanıb.,0.3333333333333333,0.09375
119,Çimərlik ərazidə Kanadanın ən uzun hovuzu yerləşir.,İtimadik ərazidə Kanadanın ən uzun provuzu yerləşir.,0.2857142857142857,0.13725490196078433
120,Çünki o yoxdur.,Çünki o yoxdur.,0.0,0.0
121,Bəzi televiziya sənədli filmlərinin məsləhətçisi idi.,Bəzi televiziya sənətli filmlərinin məsləhətçisidir.,0.5,0.07547169811320754
122,Göldə mülayim iqlim şəraiti hökm sürür.,GÖLDÜM LÖYÜM İGLİM ŞƏRƏTİ HÜKÜMSÜRÜŞÜM,1.0,0.9230769230769231
123,Goranboy rayonu Fəxralı kənd tam orta məktəbi şəhid Teymur Sadıqovun adını daşıyır.,Göranboylayanı Fəxralı kənd təmətə məktəbi Şəhid Teymur Salıqovun adına daşıyır.,0.5833333333333334,0.1566265060240964
124,Rəhbərlik öz siyasətində və iqtisadiyyatında dəyişikliklər tələb etdi.,Rəhbərlik öz siyasətində və iqtisadətində dəyişikliklər talab etdi.,0.25,0.11428571428571428
125,Sadalanan üsullardan savayı ermənilər Vaşinqtonda təsir qrupları da yaratmağa nail olurlar.,Sadalanan üsullardan savayı ermənilər başqa təsir qrupları yaratmağa nail olurlar.,0.18181818181818182,0.10989010989010989
